id,country,state,city,station,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
2546,India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",CO,40,84,53
2555,India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB",PM2.5,92,205,124
2561,India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB",OZONE,6,36,8
2569,India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",PM2.5,54,125,80
2571,India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",NO2,9,11,11
2582,India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",PM2.5,39,43,42
2591,India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",SO2,1,40,7
2592,India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",CO,24,36,35
2597,India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",NH3,2,4,2
2603,India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",NO2,10,31,23
2611,India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",NH3,1,2,1
2626,India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB",SO2,11,28,16
2630,India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",PM10,122,414,188
2143,India,Rajasthan,Baran,"Bamboliya, Baran - RSPCB",CO,23,33,25
2151,India,Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB",OZONE,29,65,36
2156,India,Rajasthan,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB",SO2,8,39,11
2158,India,Rajasthan,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB",OZONE,19,82,45
2166,India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",PM2.5,57,91,74
2170,India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",SO2,9,13,11
2188,India,Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB",PM10,NA,NA,NA
2191,India,Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB",SO2,6,9,8
2193,India,Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB",OZONE,14,74,27
2200,India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB",OZONE,28,66,36
2207,India,Rajasthan,Dausa,"Khatikan Mohalla, Dausa - RSPCB",OZONE,16,58,32
2213,India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB",CO,10,52,16
2214,India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB",OZONE,6,77,20
