Match,Team,BowlerName,Over,Maidens,Runs,Wickets,Economy,0s,4s,6s,WideBalls,NoBalls,MatchID
South Africa vs Sri Lanka,Sri Lanka,Kasun Rajitha,10,1,90,1,9,24,8,5,2,0,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,Dilshan Madushanka,10,0,86,2,8.6,25,12,1,3,1,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,Dasun Shanaka,6,0,36,0,6,10,1,1,0,0,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,4,0,39,0,9.75,9,4,2,1,0,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,Matheesha Pathirana,10,0,95,1,9.5,22,10,2,5,0,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,Dunith Wellalage,10,0,81,1,8.1,27,10,3,2,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,Lungi Ngidi,8,1,49,1,6.12,30,3,4,2,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,Marco Jansen,10,0,92,2,9.2,31,10,6,3,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,Kagiso Rabada,7.5,0,50,2,6.38,22,3,2,2,1,ODI # 4661
South Africa vs Sri Lanka,South Africa,Keshav Maharaj,10,0,62,2,6.2,33,6,2,2,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,Gerald Coetzee,9,0,68,3,7.55,26,7,3,1,0,ODI # 4661
India vs Australia,India,Jasprit Bumrah,10,0,35,2,3.5,41,1,1,4,0,ODI # 4662
India vs Australia,India,Mohammed Siraj,6.3,1,26,1,4,26,3,0,2,0,ODI # 4662
India vs Australia,India,Hardik Pandya,3,0,28,1,9.33,8,6,0,0,0,ODI # 4662
India vs Australia,India,Ravichandran Ashwin,10,1,34,1,3.4,32,2,0,0,0,ODI # 4662
India vs Australia,India,Kuldeep Yadav,10,0,42,2,4.2,31,2,1,0,0,ODI # 4662
India vs Australia,India,Ravindra Jadeja,10,2,28,3,2.8,38,2,0,0,0,ODI # 4662
India vs Australia,Australia,Mitchell Starc,8,0,31,1,3.87,28,2,0,3,0,ODI # 4662
India vs Australia,Australia,Josh Hazlewood,9,1,38,3,4.22,33,3,1,1,0,ODI # 4662
India vs Australia,Australia,Pat Cummins,6.2,0,33,0,5.21,19,2,1,1,1,ODI # 4662
India vs Australia,Australia,Glenn Maxwell,8,0,33,0,4.12,24,1,1,0,0,ODI # 4662
India vs Australia,Australia,Cameron Green,2,0,11,0,5.5,7,2,0,0,0,ODI # 4662
India vs Australia,Australia,Adam Zampa,8,0,53,0,6.62,13,4,0,0,0,ODI # 4662
Netherlands vs New Zealand,Netherlands,Aryan Dutt,10,2,62,2,6.2,31,3,3,1,0,ODI # 4663
Netherlands vs New Zealand,Netherlands,Ryan Klein,7,1,41,0,5.85,25,7,0,1,0,ODI # 4663
Netherlands vs New Zealand,Netherlands,Paul van Meekeren,9,0,59,2,6.55,28,7,2,0,1,ODI # 4663
Netherlands vs New Zealand,Netherlands,Roelof van der Merwe,9,0,56,2,6.22,20,5,1,0,0,ODI # 4663
Netherlands vs New Zealand,Netherlands,Colin Ackermann,4,0,28,0,7,9,1,2,0,0,ODI # 4663
Netherlands vs New Zealand,Netherlands,Bas de Leede,10,0,64,1,6.4,28,6,2,0,1,ODI # 4663
Netherlands vs New Zealand,Netherlands,Vikramjit Singh,1,0,9,0,9,1,1,0,0,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,Trent Boult,8,0,34,0,4.25,29,3,0,1,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,Matt Henry,8.3,0,40,3,4.7,29,4,0,0,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,Mitchell Santner,10,0,59,5,5.9,30,4,2,0,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,Lockie Ferguson,8,0,32,0,4,31,5,0,0,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,Rachin Ravindra,10,0,46,1,4.6,30,3,1,0,1,ODI # 4663
Netherlands vs New Zealand,New Zealand,Glenn Phillips,2,0,11,0,5.5,2,0,0,0,0,ODI # 4663
England vs Bangladesh,Bangladesh,Mustafizur Rahman,10,0,70,0,7,26,6,3,0,0,ODI # 4664
England vs Bangladesh,Bangladesh,Taskin Ahmed,6,0,38,1,6.33,19,4,1,2,0,ODI # 4664
England vs Bangladesh,Bangladesh,Shoriful Islam,10,0,75,3,7.5,25,11,0,1,0,ODI # 4664
England vs Bangladesh,Bangladesh,Mahedi Hasan,8,0,71,4,8.87,17,10,1,0,0,ODI # 4664
England vs Bangladesh,Bangladesh,Shakib Al Hasan,10,0,52,1,5.2,25,4,0,1,0,ODI # 4664
England vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,6,0,55,0,9.16,10,6,2,0,0,ODI # 4664
England vs Bangladesh,England,Chris Woakes,8,0,49,2,6.12,24,6,0,0,0,ODI # 4664
England vs Bangladesh,England,Reece Topley,10,1,43,4,4.3,35,3,1,0,0,ODI # 4664
England vs Bangladesh,England,Sam Curran,7.2,0,47,1,6.4,15,5,0,2,0,ODI # 4664
England vs Bangladesh,England,Mark Wood,10,0,29,1,2.9,38,2,0,1,0,ODI # 4664
England vs Bangladesh,England,Adil Rashid,10,0,42,1,4.2,31,1,1,0,0,ODI # 4664
England vs Bangladesh,England,Liam Livingstone,3,0,13,1,4.33,11,0,1,0,0,ODI # 4664
Pakistan vs Sri Lanka,Pakistan,Shaheen Shah Afridi,9,0,66,1,7.33,27,9,1,4,0,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Hasan Ali,10,0,71,4,7.1,32,6,4,3,1,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Mohammad Nawaz,9,0,62,1,6.88,23,7,1,0,0,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Haris Rauf,10,0,64,2,6.4,30,6,2,1,0,ODI # 4665
