Match,Team,BowlerName,Over,Maidens,Runs,Wickets,Economy,0s,4s,6s,WideBalls,NoBalls,MatchID
Bangladesh vs New Zealand,New Zealand,Daryl Mitchell,1,0,11,0,11,1,0,1,0,0,ODI # 4668
Bangladesh vs New Zealand,Bangladesh,Mustafizur Rahman,8,0,36,1,4.5,26,3,0,3,0,ODI # 4668
Bangladesh vs New Zealand,Bangladesh,Shoriful Islam,7.5,1,43,0,5.48,30,5,1,3,0,ODI # 4668
Bangladesh vs New Zealand,Bangladesh,Taskin Ahmed,8,0,56,0,7,20,6,1,3,0,ODI # 4668
Bangladesh vs New Zealand,Bangladesh,Shakib Al Hasan,10,0,54,1,5.4,30,2,3,0,0,ODI # 4668
Bangladesh vs New Zealand,Bangladesh,Mehidy Hasan Miraz,9,0,58,0,6.44,17,4,1,1,0,ODI # 4668
India vs Pakistan,India,Jasprit Bumrah,7,1,19,2,2.71,33,3,0,1,0,ODI # 4669
India vs Pakistan,India,Mohammed Siraj,8,0,50,2,6.25,22,7,0,0,0,ODI # 4669
India vs Pakistan,India,Hardik Pandya,6,0,34,2,5.66,20,6,0,0,0,ODI # 4669
India vs Pakistan,India,Kuldeep Yadav,10,0,35,2,3.5,38,4,0,0,0,ODI # 4669
India vs Pakistan,India,Ravindra Jadeja,9.5,0,38,2,3.86,35,4,0,0,0,ODI # 4669
India vs Pakistan,India,Shardul Thakur,2,0,12,0,6,6,2,0,0,0,ODI # 4669
India vs Pakistan,Pakistan,Shaheen Shah Afridi,6,0,36,2,6,21,5,1,1,0,ODI # 4669
India vs Pakistan,Pakistan,Hasan Ali,6,0,34,1,5.66,23,7,0,0,0,ODI # 4669
India vs Pakistan,Pakistan,Mohammad Nawaz,8.3,0,47,0,5.52,23,3,2,0,0,ODI # 4669
India vs Pakistan,Pakistan,Haris Rauf,6,0,43,0,7.16,14,1,3,0,0,ODI # 4669
India vs Pakistan,Pakistan,Shadab Khan,4,0,31,0,7.75,10,2,2,0,0,ODI # 4669
Afghanistan vs England,England,Chris Woakes,4,0,41,0,10.25,13,4,2,2,0,ODI # 4670
Afghanistan vs England,England,Reece Topley,8.5,1,52,1,5.88,30,5,1,3,1,ODI # 4670
Afghanistan vs England,England,Sam Curran,4,0,46,0,11.5,9,5,2,0,2,ODI # 4670
Afghanistan vs England,England,Adil Rashid,10,1,42,3,4.2,29,1,1,1,0,ODI # 4670
Afghanistan vs England,England,Mark Wood,9,0,50,2,5.55,27,5,1,0,0,ODI # 4670
Afghanistan vs England,England,Liam Livingstone,10,0,33,1,3.3,31,1,0,0,0,ODI # 4670
Afghanistan vs England,England,Joe Root,4,0,19,1,4.75,16,2,1,0,0,ODI # 4670
Afghanistan vs England,Afghanistan,Mujeeb Ur Rahman,10,1,51,3,5.1,31,2,1,1,0,ODI # 4670
Afghanistan vs England,Afghanistan,Fazalhaq Farooqi,7,0,50,1,7.14,23,9,0,2,0,ODI # 4670
Afghanistan vs England,Afghanistan,Naveen-ul-Haq,6,1,44,1,7.33,17,8,0,0,1,ODI # 4670
Afghanistan vs England,Afghanistan,Mohammad Nabi,6,0,16,2,2.66,23,0,0,1,0,ODI # 4670
Afghanistan vs England,Afghanistan,Rashid Khan,9.3,1,37,3,3.89,30,3,0,0,0,ODI # 4670
Afghanistan vs England,Afghanistan,Azmatullah Omarzai,2,0,13,0,6.5,5,2,0,0,0,ODI # 4670
Australia vs Sri Lanka,Australia,Mitchell Starc,10,0,43,2,4.3,37,5,0,4,0,ODI # 4671
Australia vs Sri Lanka,Australia,Josh Hazlewood,7,1,36,0,5.14,28,6,0,1,0,ODI # 4671
Australia vs Sri Lanka,Australia,Pat Cummins,7,0,32,2,4.57,24,4,0,1,0,ODI # 4671
Australia vs Sri Lanka,Australia,Glenn Maxwell,9.3,0,36,1,3.78,30,2,0,1,0,ODI # 4671
Australia vs Sri Lanka,Australia,Adam Zampa,8,1,47,4,5.87,26,5,1,2,0,ODI # 4671
Australia vs Sri Lanka,Australia,Marcus Stoinis,2,0,11,0,5.5,5,1,0,0,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,Lahiru Kumara,4,0,47,0,11.75,8,5,2,0,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,Dilshan Madushanka,9,2,38,3,4.22,34,5,0,1,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,Maheesh Theekshana,7,0,49,0,7,19,5,2,0,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,Dunith Wellalage,9.2,0,53,1,5.67,29,6,1,0,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,Chamika Karunaratne,3,0,15,0,5,9,1,0,2,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,3,0,13,0,4.33,8,0,0,0,0,ODI # 4671
Netherlands vs South Africa,South Africa,Lungi Ngidi,9,1,57,2,6.33,31,5,1,6,1,ODI # 4672
Netherlands vs South Africa,South Africa,Marco Jansen,8,1,27,2,3.37,36,3,0,6,0,ODI # 4673
Netherlands vs South Africa,South Africa,Kagiso Rabada,9,1,56,2,6.22,30,5,2,3,0,ODI # 4674
Netherlands vs South Africa,South Africa,Gerald Coetzee,8,0,57,1,7.12,25,5,3,2,0,ODI # 4675
Netherlands vs South Africa,South Africa,Keshav Maharaj,9,0,38,1,4.22,34,5,0,0,0,ODI # 4676
Netherlands vs South Africa,Netherlands,Aryan Dutt,5,1,19,0,3.8,21,3,0,0,0,ODI # 4677
Netherlands vs South Africa,Netherlands,Logan van Beek,8.5,0,60,3,6.79,30,7,2,1,1,ODI # 4678
Netherlands vs South Africa,Netherlands,Colin Ackermann,3,0,16,1,5.33,13,2,1,0,0,ODI # 4679
Netherlands vs South Africa,Netherlands,Paul van Meekeren,9,0,40,2,4.44,33,4,1,0,0,ODI # 4680
Netherlands vs South Africa,Netherlands,Roelof van der Merwe,9,0,34,2,3.77,29,1,1,0,0,ODI # 4681
Netherlands vs South Africa,Netherlands,Bas de Leede,8,0,36,2,4.5,28,3,0,4,0,ODI # 4682
Afghanistan vs New Zealand,Afghanistan,Mujeeb Ur Rahman,10,0,57,1,5.7,32,4,2,1,0,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,Fazalhaq Farooqi,7,1,39,0,5.57,23,2,2,2,0,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,Naveen-ul-Haq,8,0,48,2,6,17,4,0,0,0,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,Mohammad Nabi,8,1,41,0,5.12,30,1,4,0,0,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,Rashid Khan,10,0,43,1,4.3,35,4,0,2,0,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,Azmatullah Omarzai,7,0,56,2,8,17,4,3,0,1,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Trent Boult,7,1,18,2,2.57,32,1,0,2,0,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Matt Henry,5,2,16,1,3.2,22,1,1,0,0,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Mitchell Santner,7.4,0,39,3,5.08,24,3,1,1,0,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Lockie Ferguson,7,1,19,3,2.71,32,2,0,1,0,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Glenn Phillips,3,0,13,0,4.33,7,0,0,1,0,ODI # 4673
Afghanistan vs New Zealand,New Zealand,Rachin Ravindra,5,0,34,1,6.8,11,4,0,0,0,ODI # 4673
India vs Bangladesh,India,Jasprit Bumrah,10,1,41,2,4.1,39,2,2,1,0,ODI # 4674
India vs Bangladesh,India,Mohammed Siraj,10,0,60,2,6,34,8,1,3,0,ODI # 4674
India vs Bangladesh,India,Hardik Pandya,0.3,0,8,0,16,1,2,0,0,0,ODI # 4674
India vs Bangladesh,India,Virat Kohli,0.3,0,2,0,4,1,0,0,0,0,ODI # 4674
India vs Bangladesh,India,Shardul Thakur,9,0,59,1,6.55,23,3,3,0,0,ODI # 4674
India vs Bangladesh,India,Kuldeep Yadav,10,0,47,1,4.7,25,1,1,1,0,ODI # 4674
India vs Bangladesh,India,Ravindra Jadeja,10,0,38,2,3.8,36,2,1,0,0,ODI # 4674
India vs Bangladesh,Bangladesh,Shoriful Islam,8,0,54,0,6.75,25,6,2,0,0,ODI # 4674
India vs Bangladesh,Bangladesh,Mustafizur Rahman,5,0,29,0,5.8,17,5,0,0,0,ODI # 4674
India vs Bangladesh,Bangladesh,Nasum Ahmed,9.3,0,60,0,6.31,30,4,4,0,0,ODI # 4674
India vs Bangladesh,Bangladesh,Hasan Mahmud,8,0,65,1,8.12,22,5,3,1,2,ODI # 4674
India vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,10,0,47,2,4.7,24,3,0,1,0,ODI # 4674
India vs Bangladesh,Bangladesh,Mahmudullah,1,0,6,0,6,0,0,0,0,0,ODI # 4674
Australia vs Pakistan,Pakistan,Shaheen Shah Afridi,10,1,54,5,5.4,39,4,3,3,0,ODI # 4675
Australia vs Pakistan,Pakistan,Hasan Ali,8,0,57,0,7.12,26,4,3,3,0,ODI # 4675
Australia vs Pakistan,Pakistan,Iftikhar Ahmed,8,0,37,0,4.62,30,4,1,2,0,ODI # 4675
Australia vs Pakistan,Pakistan,Haris Rauf,8,0,83,3,10.37,18,8,5,3,0,ODI # 4675
Australia vs Pakistan,Pakistan,Usama Mir,9,0,82,1,9.11,19,6,5,2,0,ODI # 4675
Australia vs Pakistan,Pakistan,Mohammad Nawaz,7,0,43,0,6.14,20,3,2,0,0,ODI # 4675
Australia vs Pakistan,Australia,Mitchell Starc,8,0,65,1,8.12,22,10,0,6,0,ODI # 4675
Australia vs Pakistan,Australia,Josh Hazlewood,10,1,37,1,3.7,40,5,0,1,0,ODI # 4675
Australia vs Pakistan,Australia,Pat Cummins,7.3,0,62,2,8.26,22,6,4,0,0,ODI # 4675
Australia vs Pakistan,Australia,Adam Zampa,10,0,53,4,5.3,25,3,1,1,0,ODI # 4675
Australia vs Pakistan,Australia,Glenn Maxwell,5,0,40,0,8,10,6,0,0,0,ODI # 4675
Australia vs Pakistan,Australia,Marcus Stoinis,5,0,40,2,8,10,4,1,3,0,ODI # 4675
Netherlands vs Sri Lanka,Sri Lanka,Dilshan Madushanka,9.4,1,49,4,5.06,33,4,0,3,1,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Kasun Rajitha,9,0,50,4,5.55,32,5,0,6,0,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Chamika Karunaratne,9,1,58,0,6.44,25,1,2,6,0,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Maheesh Theekshana,10,0,44,1,4.4,28,0,0,2,0,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Dushan Hemantha,8,0,42,0,5.25,23,3,1,0,0,ODI # 4676
Netherlands vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,4,0,13,0,3.25,16,0,0,3,0,ODI # 4676
Netherlands vs Sri Lanka,Netherlands,Aryan Dutt,10,0,44,3,4.4,38,3,1,2,0,ODI # 4676
Netherlands vs Sri Lanka,Netherlands,Logan van Beek,10,0,57,0,5.7,36,6,2,0,0,ODI # 4676
Netherlands vs Sri Lanka,Netherlands,Paul van Meekeren,8,1,39,1,4.87,29,4,0,2,0,ODI # 4676
