Match,TeamInnings,BattingPosition,BatsmenName,RunsScored,BallsFaced,4s,6s,StrikeRate,NotOut,MatchID
Bangladesh vs New Zealand,New Zealand,5,Glenn Phillips,16,11,1,1,145.45 ,1,ODI # 4668
India vs Pakistan,Pakistan,1,Abdullah Shafique,20,24,3,0,83.33 ,0,ODI # 4669
India vs Pakistan,Pakistan,2,ImamNaNulNaNHaq,36,38,6,0,94.73 ,0,ODI # 4669
India vs Pakistan,Pakistan,3,Babar Azam,50,58,7,0,86.20 ,0,ODI # 4669
India vs Pakistan,Pakistan,4,Mohammad Rizwan,49,69,7,0,71.01 ,0,ODI # 4669
India vs Pakistan,Pakistan,5,Saud Shakeel,6,10,0,0,60.00 ,0,ODI # 4669
India vs Pakistan,Pakistan,6,Iftikhar Ahmed,4,4,1,0,100.00 ,0,ODI # 4669
India vs Pakistan,Pakistan,7,Shadab Khan,2,5,0,0,40.00 ,0,ODI # 4669
India vs Pakistan,Pakistan,8,Mohammad Nawaz,4,14,0,0,28.57 ,0,ODI # 4669
India vs Pakistan,Pakistan,9,Hasan Ali,12,19,2,0,63.15 ,0,ODI # 4669
India vs Pakistan,Pakistan,10,Shaheen Shah Afridi,2,10,0,0,20.00 ,1,ODI # 4669
India vs Pakistan,Pakistan,11,Haris Rauf,2,6,0,0,33.33 ,0,ODI # 4669
India vs Pakistan,India,1,Rohit Sharma,86,63,6,6,136.50 ,0,ODI # 4669
India vs Pakistan,India,2,Shubman Gill,16,11,4,0,145.45 ,0,ODI # 4669
India vs Pakistan,India,3,Virat Kohli,16,18,3,0,88.88 ,0,ODI # 4669
India vs Pakistan,India,4,Shreyas Iyer,53,62,3,2,85.48 ,1,ODI # 4669
India vs Pakistan,India,5,KL Rahul,19,29,2,0,65.51 ,1,ODI # 4669
Afghanistan vs England,Afghanistan,1,Rahmanullah Gurbaz,80,57,8,4,140.35 ,0,ODI # 4670
Afghanistan vs England,Afghanistan,2,Ibrahim Zadran,28,48,3,0,58.33 ,0,ODI # 4670
Afghanistan vs England,Afghanistan,3,Rahmat Shah,3,8,0,0,37.50 ,0,ODI # 4670
Afghanistan vs England,Afghanistan,4,Hashmatullah Shahidi,14,36,0,0,38.88 ,0,ODI # 4670
Afghanistan vs England,Afghanistan,5,Azmatullah Omarzai,19,24,1,1,79.16 ,0,ODI # 4670
Afghanistan vs England,Afghanistan,6,Ikram Alikhil,58,66,3,2,87.87 ,0,ODI # 4670
Afghanistan vs England,Afghanistan,7,Mohammad Nabi,9,15,1,0,60.00 ,0,ODI # 4670
Afghanistan vs England,Afghanistan,8,Rashid Khan,23,22,3,0,104.54 ,0,ODI # 4670
Afghanistan vs England,Afghanistan,9,Mujeeb Ur Rahman,28,16,3,1,175.00 ,0,ODI # 4670
Afghanistan vs England,Afghanistan,10,NaveenNaNulNaNHaq,5,6,1,0,83.33 ,0,ODI # 4670
Afghanistan vs England,Afghanistan,11,Fazalhaq Farooqi,2,4,0,0,50.00 ,1,ODI # 4670
Afghanistan vs England,England,1,Jonny Bairstow,2,4,0,0,50.00 ,0,ODI # 4670
Afghanistan vs England,England,2,Dawid Malan,32,39,4,0,82.05 ,0,ODI # 4670
Afghanistan vs England,England,3,Joe Root,11,17,2,0,64.70 ,0,ODI # 4670
Afghanistan vs England,England,4,Harry Brook,66,61,7,1,108.19 ,0,ODI # 4670
Afghanistan vs England,England,5,Jos Buttler,9,18,1,0,50.00 ,0,ODI # 4670
Afghanistan vs England,England,6,Liam Livingstone,10,14,1,0,71.42 ,0,ODI # 4670
Afghanistan vs England,England,7,Sam Curran,10,23,0,0,43.47 ,0,ODI # 4670
Afghanistan vs England,England,8,Chris Woakes,9,26,1,0,34.61 ,0,ODI # 4670
Afghanistan vs England,England,9,Adil Rashid,20,13,2,0,153.84 ,0,ODI # 4670
Afghanistan vs England,England,10,Mark Wood,18,22,3,0,81.81 ,0,ODI # 4670
Afghanistan vs England,England,11,Reece Topley,15,7,3,0,214.28 ,1,ODI # 4670
Australia vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,61,67,8,0,91.04 ,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,2,Kusal Perera,78,82,12,0,95.12 ,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,3,Kusal Mendis,9,13,0,0,69.23 ,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,4,Sadeera Samarawickrama,8,8,1,0,100.00 ,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,5,Charith Asalanka,25,39,0,1,64.10 ,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,6,Dhananjaya de Silva,7,13,1,0,53.84 ,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,7,Dunith Wellalage,2,9,0,0,22.22 ,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,2,11,0,0,18.18 ,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,9,Maheesh Theekshana,0,5,0,0,0.00 ,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,10,Lahiru Kumara,4,8,1,0,50.00 ,0,ODI # 4671
Australia vs Sri Lanka,Sri Lanka,11,Dilshan Madushanka,0,6,0,0,0.00 ,1,ODI # 4671
Australia vs Sri Lanka,Australia,1,Mitchell Marsh,52,51,9,0,101.96 ,0,ODI # 4671
Australia vs Sri Lanka,Australia,2,David Warner,11,6,0,1,183.33 ,0,ODI # 4671
Australia vs Sri Lanka,Australia,3,Steven Smith,0,5,0,0,0.00 ,0,ODI # 4671
Australia vs Sri Lanka,Australia,4,Marnus Labuschagne,40,60,2,0,66.66 ,0,ODI # 4671
Australia vs Sri Lanka,Australia,5,Josh Inglis,58,59,5,1,98.30 ,0,ODI # 4671
Australia vs Sri Lanka,Australia,6,Glenn Maxwell,31,21,4,2,147.61 ,1,ODI # 4671
Australia vs Sri Lanka,Australia,7,Marcus Stoinis,20,10,2,1,200.00 ,1,ODI # 4671
Netherlands vs South Africa,Netherlands,1,Vikramjit Singh,2,16,0,0,12.50 ,0,ODI # 4672
Netherlands vs South Africa,Netherlands,2,Max O'Dowd,18,25,4,0,72.00 ,0,ODI # 4672
Netherlands vs South Africa,Netherlands,3,Colin Ackermann,12,25,1,0,48.00 ,0,ODI # 4672
Netherlands vs South Africa,Netherlands,4,Bas de Leede,2,7,0,0,28.57 ,0,ODI # 4672
Netherlands vs South Africa,Netherlands,5,Sybrand Engelbrecht,19,37,1,1,51.35 ,0,ODI # 4672
Netherlands vs South Africa,Netherlands,6,Teja Nidamanuru,20,25,3,0,80.00 ,0,ODI # 4672
Netherlands vs South Africa,Netherlands,7,Scott Edwards,78,69,10,1,113.04 ,1,ODI # 4672
Netherlands vs South Africa,Netherlands,8,Logan van Beek,10,27,1,0,37.03 ,0,ODI # 4672
Netherlands vs South Africa,Netherlands,9,Roelof van der Merwe,29,19,3,1,152.63 ,0,ODI # 4672
Netherlands vs South Africa,Netherlands,10,Aryan Dutt,23,9,0,3,255.55 ,1,ODI # 4672
Netherlands vs South Africa,South Africa,1,Temba Bavuma,16,31,2,1,51.61 ,0,ODI # 4672
Netherlands vs South Africa,South Africa,2,Quinton de Kock,20,22,3,0,90.90 ,0,ODI # 4672
Netherlands vs South Africa,South Africa,3,Rassie van der Dussen,4,7,0,0,57.14 ,0,ODI # 4672
Netherlands vs South Africa,South Africa,4,Aiden Markram,1,3,0,0,33.33 ,0,ODI # 4672
Netherlands vs South Africa,South Africa,5,Heinrich Klaasen,28,28,4,0,100.00 ,0,ODI # 4672
Netherlands vs South Africa,South Africa,6,David Miller,43,52,4,1,82.69 ,0,ODI # 4672
Netherlands vs South Africa,South Africa,7,Marco Jansen,9,25,0,0,36.00 ,0,ODI # 4672
Netherlands vs South Africa,South Africa,8,Gerald Coetzee,22,23,2,1,95.65 ,0,ODI # 4672
Netherlands vs South Africa,South Africa,9,Keshav Maharaj,40,37,5,1,108.10 ,0,ODI # 4672
Netherlands vs South Africa,South Africa,10,Kagiso Rabada,9,6,0,1,150.00 ,0,ODI # 4672
Netherlands vs South Africa,South Africa,11,Lungi Ngidi,7,24,0,0,29.16 ,1,ODI # 4672
Afghanistan vs New Zealand,New Zealand,1,Devon Conway,20,18,3,0,111.11 ,0,ODI # 4673
Afghanistan vs New Zealand,New Zealand,2,Will Young,54,64,4,3,84.37 ,0,ODI # 4673
Afghanistan vs New Zealand,New Zealand,3,Rachin Ravindra,32,41,2,1,78.04 ,0,ODI # 4673
Afghanistan vs New Zealand,New Zealand,4,Daryl Mitchell,1,7,0,0,14.28 ,0,ODI # 4673
Afghanistan vs New Zealand,New Zealand,5,Tom Latham,68,74,3,2,91.89 ,0,ODI # 4673
Afghanistan vs New Zealand,New Zealand,6,Glenn Phillips,71,80,4,4,88.75 ,0,ODI # 4673
Afghanistan vs New Zealand,New Zealand,7,Mark Chapman,25,12,2,1,208.33 ,1,ODI # 4673
Afghanistan vs New Zealand,New Zealand,8,Mitchell Santner,7,5,1,0,140.00 ,1,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,1,Rahmanullah Gurbaz,11,21,0,1,52.38 ,0,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,2,Ibrahim Zadran,14,15,2,0,93.33 ,0,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,3,Rahmat Shah,36,62,1,0,58.06 ,0,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,4,Hashmatullah Shahidi,8,29,1,0,27.58 ,0,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,5,Azmatullah Omarzai,27,32,2,0,84.37 ,0,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,6,Ikram Alikhil,19,21,3,0,90.47 ,1,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,7,Mohammad Nabi,7,9,1,0,77.77 ,0,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,8,Rashid Khan,8,13,0,1,61.53 ,0,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,9,Mujeeb Ur Rahman,4,3,1,0,133.33 ,0,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,10,NaveenNaNulNaNHaq,0,1,0,0,0.00 ,0,ODI # 4673
Afghanistan vs New Zealand,Afghanistan,11,Fazalhaq Farooqi,0,2,0,0,0.00 ,0,ODI # 4673
India vs Bangladesh,Bangladesh,1,Tanzid Hasan,51,43,5,3,118.60 ,0,ODI # 4674
India vs Bangladesh,Bangladesh,2,Litton Das,66,82,7,0,80.48 ,0,ODI # 4674
India vs Bangladesh,Bangladesh,3,Najmul Hossain Shanto,8,17,0,0,47.05 ,0,ODI # 4674
India vs Bangladesh,Bangladesh,4,Mehidy Hasan Miraz,3,13,0,0,23.07 ,0,ODI # 4674
India vs Bangladesh,Bangladesh,5,Towhid Hridoy,16,35,0,0,45.71 ,0,ODI # 4674
India vs Bangladesh,Bangladesh,6,Mushfiqur Rahim,38,46,1,1,82.60 ,0,ODI # 4674
India vs Bangladesh,Bangladesh,7,Mahmudullah,46,36,3,3,127.77 ,0,ODI # 4674
India vs Bangladesh,Bangladesh,8,Nasum Ahmed,14,18,2,0,77.77 ,0,ODI # 4674
India vs Bangladesh,Bangladesh,9,Mustafizur Rahman,1,7,0,0,14.28 ,1,ODI # 4674
India vs Bangladesh,Bangladesh,10,Shoriful Islam,7,3,0,1,233.33 ,1,ODI # 4674
India vs Bangladesh,India,1,Rohit Sharma,48,40,7,2,120.00 ,0,ODI # 4674
India vs Bangladesh,India,2,Shubman Gill,53,55,5,2,96.36 ,0,ODI # 4674
India vs Bangladesh,India,3,Virat Kohli,103,97,6,4,106.18 ,1,ODI # 4674
India vs Bangladesh,India,4,Shreyas Iyer,19,25,2,0,76.00 ,0,ODI # 4674
India vs Bangladesh,India,5,KL Rahul,34,34,3,1,100.00 ,1,ODI # 4674
Australia vs Pakistan,Australia,1,David Warner,163,124,14,9,131.45 ,0,ODI # 4675
